id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
128,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
129,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
130,BD-06 1339 b,66,8.5 Earths,9.7,2013
131,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
132,BD-08 2823 b,135,12.7132 Earths,9.86,2009
133,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
134,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
135,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
136,BD-11 4672 c,89,15.37 Earths,10.03,2020
137,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
138,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
139,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
140,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
141,BD-17 63 b,112,5.1 Jupiters,9.62,2008
142,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
143,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
144,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
145,BD+20 594 b,585,22.2481 Earths,10.849,2016
146,BD-210397 b,77,0.7 Jupiters,9.84,2023
147,BD-210397 c,77,4.8 Jupiters,9.84,2023
148,BD+45 564 b,175,1.36 Jupiters,9.67,2021
149,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
150,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
151,CoRoT-20 c,2753,17 Jupiters,14.63,2018
152,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
153,CoRoT-22 b,2046,12.2 Earths,13.82,2014
154,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
155,CoRoT-24 b,1930,5.7 Earths,15.383,2014
156,CoRoT-24 c,1930,28 Earths,15.383,2014
157,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
158,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
159,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
160,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
161,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
162,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
163,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
164,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
165,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
166,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
167,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
168,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
169,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
170,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
171,CoRoT-7 b,522,4.07661 Earths,11.728,2009
172,CoRoT-7 c,522,8.4 Earths,11.728,2009
173,CoRoT-7 d,522,17.142 Earths,11.728,2022
174,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
175,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
176,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
177,CT Chamaleontis b,622,17 Jupiters,12.335,2007
178,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
179,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
180,DH Tauri b,440,11 Jupiters,13.98,2004
181,DMPP-1 b,204,24.27 Earths,7.98,2019
182,DMPP-1 c,204,9.6 Earths,7.98,2019
183,DMPP-1 d,204,3.35 Earths,7.98,2019
184,DMPP-1 e,204,4.13 Earths,7.98,2019
185,DMPP-2 b,450,0.437 Jupiters,8.57,2019
186,DMPP-3 A b,148,2.58 Earths,9.066,2019
187,DMPP-4 b,83,12.2 Earths,5.72936,2023
188,DP Leonis b,997,6.28 Jupiters,18.6837,2009
189,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
190,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
191,EPIC 201238110 b,520,4.16 Earths,16.014,2019
192,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
193,EPIC 201497682 b,825,0.26 Earths,13.948,2019
194,EPIC 201595106 b,757,2.24 Earths,11.746,2021
195,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
196,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
197,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
198,EPIC 201833600 c,840,0.972 Earths,14.705,2019
199,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
200,EPIC 220674823 c,798,8.9 Earths,12.101,2016
201,EPIC 228836835 b,490,1.37 Earths,16.77,2021
202,EPIC 229004835 b,398,10.4 Earths,10.23,2023
203,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
204,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
205,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
206,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
207,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
208,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
209,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
210,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
211,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
212,FU Tauri b,435,16 Jupiters,,2008
213,G 264-012 b,52,2.5 Earths,13.078,2021
214,G 264-012 c,52,3.75 Earths,13.078,2021
215,G 9-40 b,91,11.7 Earths,13.821,2019
216,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
217,Gaia-2 b,683,0.817 Jupiters,11.277,2022
218,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
219,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
220,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
221,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
222,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
223,GJ 1002 b,16,1.08 Earths,13.76,2022
224,GJ 1002 c,16,1.36 Earths,13.76,2022
225,EPIC 220674823 c,798,8.9 Earths,12.101,2016
226,EPIC 228836835 b,490,1.37 Earths,16.77,2021
227,EPIC 229004835 b,398,10.4 Earths,10.23,2023
228,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
229,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
230,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
231,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
232,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
233,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
234,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
235,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
236,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
237,FU Tauri b,435,16 Jupiters,,2008
238,G 264-012 b,52,2.5 Earths,13.078,2021
239,G 264-012 c,52,3.75 Earths,13.078,2021
240,G 9-40 b,91,11.7 Earths,13.821,2019
241,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
242,Gaia-2 b,683,0.817 Jupiters,11.277,2022
243,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
244,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
245,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
246,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
247,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
248,GJ 1002 b,16,1.08 Earths,13.76,2022
249,GJ 1002 c,16,1.36 Earths,13.76,2022
